Experiment,Condition,Circadian_Time,Session_Time_min,Core_Temp_Celsius,Thermal_Vest,Note
Exp1_Circadian,Normal,05:00,0,36.5625,None,Circadian rhythm baseline
Exp1_Circadian,Normal,05:00,10,36.6111,None,Circadian rhythm baseline
Exp1_Circadian,Normal,05:00,20,36.6222,None,Circadian rhythm baseline
Exp1_Circadian,Normal,05:00,30,36.6,None,Circadian rhythm baseline
Exp1_Circadian,Normal,05:00,40,36.6111,None,Circadian rhythm baseline
Exp1_Circadian,Normal,05:00,50,36.6,None,Circadian rhythm baseline
Exp1_Circadian,Normal,05:00,60,36.6444,None,Circadian rhythm baseline
Exp1_Circadian,Normal,12:00,0,36.7375,None,Circadian rhythm baseline
Exp1_Circadian,Normal,12:00,10,36.8222,None,Circadian rhythm baseline
Exp1_Circadian,Normal,12:00,20,36.8556,None,Circadian rhythm baseline
Exp1_Circadian,Normal,12:00,30,36.8222,None,Circadian rhythm baseline
Exp1_Circadian,Normal,12:00,40,36.8556,None,Circadian rhythm baseline
Exp1_Circadian,Normal,12:00,50,36.8444,None,Circadian rhythm baseline
Exp1_Circadian,Normal,12:00,60,36.9,None,Circadian rhythm baseline
Exp1_Circadian,Normal,17:00,0,36.9375,None,Circadian rhythm baseline
Exp1_Circadian,Normal,17:00,10,37.0,None,Circadian rhythm baseline
Exp1_Circadian,Normal,17:00,20,37.0444,None,Circadian rhythm baseline
Exp1_Circadian,Normal,17:00,30,37.0444,None,Circadian rhythm baseline
Exp1_Circadian,Normal,17:00,40,37.0444,None,Circadian rhythm baseline
Exp1_Circadian,Normal,17:00,50,37.0444,None,Circadian rhythm baseline
Exp1_Circadian,Normal,17:00,60,37.0444,None,Circadian rhythm baseline
Exp1_Circadian,Normal,24:00,0,36.625,None,Circadian rhythm baseline
Exp1_Circadian,Normal,24:00,10,36.6556,None,Circadian rhythm baseline
Exp1_Circadian,Normal,24:00,20,36.6889,None,Circadian rhythm baseline
Exp1_Circadian,Normal,24:00,30,36.7,None,Circadian rhythm baseline
Exp1_Circadian,Normal,24:00,40,36.7,None,Circadian rhythm baseline
Exp1_Circadian,Normal,24:00,50,36.7,None,Circadian rhythm baseline
Exp1_Circadian,Normal,24:00,60,36.7,None,Circadian rhythm baseline
Exp2_Perturbation,Abnormal_AM,05:00,0,36.3,Applied,Post-vest perturbation
Exp2_Perturbation,Abnormal_AM,05:00,10,36.3667,Applied,Post-vest perturbation
Exp2_Perturbation,Abnormal_AM,05:00,20,36.3889,Applied,Post-vest perturbation
Exp2_Perturbation,Abnormal_AM,05:00,30,36.4111,Applied,Post-vest perturbation
Exp2_Perturbation,Abnormal_AM,05:00,40,36.5,Applied,Post-vest perturbation
Exp2_Perturbation,Abnormal_AM,05:00,50,36.5333,Applied,Post-vest perturbation
Exp2_Perturbation,Abnormal_AM,05:00,60,36.6222,Applied,Post-vest perturbation
Exp2_Perturbation,Abnormal_PM,17:00,0,36.7,Applied,Post-vest perturbation
Exp2_Perturbation,Abnormal_PM,17:00,10,36.7556,Applied,Post-vest perturbation
Exp2_Perturbation,Abnormal_PM,17:00,20,36.7222,Applied,Post-vest perturbation
Exp2_Perturbation,Abnormal_PM,17:00,30,36.8111,Applied,Post-vest perturbation
Exp2_Perturbation,Abnormal_PM,17:00,40,36.8333,Applied,Post-vest perturbation
Exp2_Perturbation,Abnormal_PM,17:00,50,36.8556,Applied,Post-vest perturbation
Exp2_Perturbation,Abnormal_PM,17:00,60,36.9111,Applied,Post-vest perturbation
Exp3_Vest_Comparison,Heat_Vest,Combined,0,36.75,Heat_42-45C,TO=vest removal at 30min
Exp3_Vest_Comparison,Heat_Vest,Combined,10,36.5611,Heat_42-45C,TO=vest removal at 30min
Exp3_Vest_Comparison,Heat_Vest,Combined,20,36.5556,Heat_42-45C,TO=vest removal at 30min
Exp3_Vest_Comparison,Heat_Vest,Combined,30,36.6111,Heat_42-45C,TO=vest removal at 30min
Exp3_Vest_Comparison,Heat_Vest,Combined,40,36.6667,Heat_42-45C,TO=vest removal at 30min
Exp3_Vest_Comparison,Heat_Vest,Combined,50,36.6944,Heat_42-45C,TO=vest removal at 30min
Exp3_Vest_Comparison,Heat_Vest,Combined,60,36.7667,Heat_42-45C,TO=vest removal at 30min
Exp3_Vest_Comparison,Ice_Vest,Combined,0,36.75,Ice_5-10C,TO=vest removal at 30min
Exp3_Vest_Comparison,Ice_Vest,Combined,10,36.8056,Ice_5-10C,TO=vest removal at 30min
Exp3_Vest_Comparison,Ice_Vest,Combined,20,36.8333,Ice_5-10C,TO=vest removal at 30min
Exp3_Vest_Comparison,Ice_Vest,Combined,30,36.8222,Ice_5-10C,TO=vest removal at 30min
Exp3_Vest_Comparison,Ice_Vest,Combined,40,36.8278,Ice_5-10C,TO=vest removal at 30min
Exp3_Vest_Comparison,Ice_Vest,Combined,50,36.8222,Ice_5-10C,TO=vest removal at 30min
Exp3_Vest_Comparison,Ice_Vest,Combined,60,36.8444,Ice_5-10C,TO=vest removal at 30min
Exp3_Vest_Comparison,Normal_Baseline,Combined,0,36.75,None,TO=vest removal at 30min
Exp3_Vest_Comparison,Normal_Baseline,Combined,10,36.75,None,TO=vest removal at 30min
Exp3_Vest_Comparison,Normal_Baseline,Combined,20,36.75,None,TO=vest removal at 30min
Exp3_Vest_Comparison,Normal_Baseline,Combined,30,36.75,None,TO=vest removal at 30min
Exp3_Vest_Comparison,Normal_Baseline,Combined,40,36.75,None,TO=vest removal at 30min
Exp3_Vest_Comparison,Normal_Baseline,Combined,50,36.75,None,TO=vest removal at 30min
Exp3_Vest_Comparison,Normal_Baseline,Combined,60,36.75,None,TO=vest removal at 30min
